163529.653	163529.773	0x02	06f4T39J601	0293102929647534	01030195118	01071474451	01030195118	0x03	0x48
162718.407	162718.613	0x02	07f4T37TB01	0392062438406608	01051444451	01071474451	01051444451	0x01	0x45
163402.056	163402.229	0x02	0Bf4T398B01	0792102842054222	01030195118	01071474451	01030195118	0x03	0x48
163506.245	163506.362	0x02	0Bf4T39G901	0792102906243664	01030195118	01071474451	01030195118	0x03	0x52
163541.024	163541.150	0x02	0Df4T39KR01	0992132941021883	01030195118	01071474451	01030195118	0x03	0x48
163348.355	163348.517	0x02	0Ff4T396701	1192072828352529	01030195118	01071474451	01030195118	0x03	0x48
163323.906	163324.095	0x02	0If4T392J01	1493112803902408	01030195118	01071474451	01030195118	0x01	0x45
163552.865	163553.020	0x02	0Kf4T39M401	1693092952853931	01030195118	01071474451	01030195118	0x03	0x52
163442.171	163442.335	0x02	0Kf4T39D101	1693102882169760	01030195118	01071474451	01030195118	0x03	0x48
163518.581	163518.759	0x02	0Lf4T39HN01	1792102918575410	01030195118	01071474451	01030195118	0x03	0x48
163423.906	163424.034	0x02	0Nf4T39AU01	1992132863897732	01030195118	01071474451	01030195118	0x03	0x52
142854.120	142854.137	0x02	p_r4TEER0UN	3593125334109817	1528810506	01071474451	01004270073	0x03	0x38
153637.607	153637.628	0x02	q_r4TFII0HR	3692119397599163	1528800426	01071474451	01004270145	0x03	0x38
140254.832	140254.849	0x02	r_r4TE1R1L9	3793083774828916	1528800531	01071474451	01004270024	0x03	0x38
153002.060	153002.131	0x02	b_r4TFF101J	4693069002056880	1528800425	01071474451	01004270116	0x01	0x45
154759.556	154759.570	0x02	c_r4TFNT1VK	4792080079546360	1528800592	01071474451	01004270168	0x03	0x38
152722.217	152722.299	0x02	d_r4TFDB1AG	4893038842210146	1528800593	01071474451	01004270106	0x01	0x45
154648.471	154648.603	0x02	e_r4TFNO0R0	4992100008461047	1528800429	01071474451	01004270163	0x01	0x45
153917.146	153917.171	0x02	g_r4TFJ80YJ	5192039557145549	1528800738	01071474451	01004270158	0x03	0x38
142641.582	142641.601	0x02	i_r4TEDK0Q3	5392135201569695	1528800535	01071474451	01004270066	0x03	0x38
153948.470	153948.513	0x02	j_r4TFJO1FW	5493099588461978	1528800427	01071474451	01004270161	0x03	0x38
141034.541	141034.554	0x02	s_r4TE5H0PT	5792034234537081	1528800741	01071474451	01004270050	0x03	0x38
142320.115	142320.135	0x02	t_r4TEBA1WO	6092105000105399	1528800539	01071474451	01004270057	0x03	0x38
140118.382	140118.454	0x02	w_r4TE083PQ	6393093678371335	1528800740	01071474451	01004270019	0x01	0x45
143502.746	143502.760	0x02	y_r4TEH11GI	6593095702742152	1528810505	01071474451	01004270091	0x03	0x38
155219.396	155219.503	0x02	T_r4TFQ906K	6793070339395895	1528800433	01071474451	01004270185	0x01	0x45
141240.117	141240.139	0x02	T_r4TE6K0YP	6793084360110028	1528800745	01071474451	01004270054	0x03	0x38
155157.974	155157.994	0x01	29E7B44F	7190010317967758	1571518612	01071474451	01004270183	0x03	0x3c
142824.655	142824.680	0x01	29B55C3F	7190025304644721	1571518612	01071474451	01004270071	0x03	0x3c
142343.669	142343.728	0x01	29B2AB37	7190035023667194	1571518612	01071474451	01004270059	0x03	0x3c
143101.987	143102.017	0x01	29B7082B	7190035461987608	1571518612	01071474451	01004270076	0x03	0x3c
153342.569	153342.587	0x01	29DDA5E3	7190039222566325	1571518612	01071474451	01004270131	0x03	0x3c
153823.323	153823.340	0x01	29E033B5	7190039503324743	1571518612	01071474451	01004270154	0x03	0x3c
133457.598	133457.659	0x01	29947EBF	7190042097586954	1571518612	01071474451	01004270209	0x01	0x45
134135.326	134135.404	0x01	29984223	7190042495322883	1571518612	01071474451	01004270222	0x01	0x45
142524.700	142524.736	0x01	29B3A619	7190055124699473	1571518612	01071474451	01004270061	0x03	0x3c
142910.784	142910.861	0x01	29B5C161	7190055350775299	1571518612	01071474451	01004270074	0x01	0x45
143432.390	143432.447	0x01	29B9654B	7190055672380351	1571518612	01071474451	01004270089	0x03	0x3c
143511.552	143511.659	0x01	29B9D1BB	7190055711541805	1571518612	01071474451	01004270092	0x03	0x3d
153705.326	153705.365	0x01	29DF834F	7190059425317878	1571518612	01071474451	01004270147	0x03	0x3c
153722.320	153722.348	0x01	29DFB033	7190059442313944	1571518612	01071474451	01004270148	0x03	0x3c
134424.316	134424.414	0x01	2999C107	7190062664307954	1571518612	01071474451	01004270228	0x01	0x45
140501.943	140502.053	0x01	29A64549	7190063901938361	1571518612	01071474451	01004270031	0x01	0x45
153453.004	153453.080	0x01	29DE50EB	7190069292995128	1571518612	01071474451	01004270138	0x03	0x3c
142620.600	142620.721	0x01	29B4283B	7190075180590218	1571518612	01071474451	01004270065	0x03	0x46
142658.591	142658.611	0x01	29B48269	7190075218581700	1571518612	01071474451	01004270067	0x03	0x3c
153922.601	153922.637	0x01	29E0B8D9	7190079562600476	1571518612	01071474451	01004270159	0x03	0x38
134019.641	134019.720	0x01	299784CF	7190082419637025	1571518612	01071474451	01004270219	0x01	0x45
140626.509	140626.544	0x01	29A74D49	7190083986503447	1571518612	01071474451	01004270035	0x03	0x3c
152541.930	152542.003	0x01	29D8F695	7190088741918319	1571518612	01071474451	01004270100	0x03	0x46
153747.314	153747.343	0x01	29DFE2C1	7190089467312273	1571518612	01071474451	01004270150	0x03	0x38
154715.633	154715.788	0x01	29E532BD	7190090035623359	1571518612	01071474451	01004270165	0x03	0x46
